Date,CPI,Nifty 50 (NSEI),Refined Gold Futures
01-07-2025,196,25541.8,4571.2
02-07-2025,196,25453.4,4555.2
03-07-2025,196,25405.3,4521.5
04-07-2025,196,25461,4528.6
07-07-2025,196,25461.3,4532.1
08-07-2025,196,25522.5,4502.7
09-07-2025,196,25476.1,4515.2
10-07-2025,196,25355.25,4521.2
11-07-2025,196,25149.85,4579.9
14-07-2025,196,25082.3,4549.5
16-07-2025,196,25212.05,4546.9
17-07-2025,196,25111.45,4526
18-07-2025,196,24968.4,4551.1
21-07-2025,196,25090.7,4607.2
22-07-2025,196,25060.9,4641.7
23-07-2025,196,25219.9,4617.8
24-07-2025,196,25062.1,4556
25-07-2025,196,24837,4509.1
28-07-2025,196,24680.9,4463.9
29-07-2025,196,24821.1,4489.9
30-07-2025,196,24855.05,4450.5
31-07-2025,196,24768.35,4433.4
01-08-2025,196,24565.35,4493.4
04-08-2025,196,24722.75,4526.8
05-08-2025,196,24649.55,4538.7
06-08-2025,196,24574.2,4524.1
07-08-2025,196,24596.15,4527.5
08-08-2025,196,24363.3,4524.2
11-08-2025,196,24585.05,4463.1
12-08-2025,196,24487.4,4451.6
13-08-2025,196,24619.35,4477.3
14-08-2025,196,24631.3,4444.5
18-08-2025,196,24876.95,4430.8
19-08-2025,196,24980.65,4412.9
20-08-2025,196,25050.55,4438.8
21-08-2025,196,25083.75,4430.6
22-08-2025,196,24870.1,4470.2
25-08-2025,196,24967.75,4461.5
26-08-2025,196,24712.05,4467.1
28-08-2025,196,24500.9,4503.6
